iter	RMSE
0	628.6600199
1	595.0090148
2	563.7688737
3	537.0653854
4	513.5403948
5	494.0681407
6	476.6694303
7	457.8835686
8	441.4538999
9	427.1778321
10	413.5637475
11	403.1234721
12	394.9425834
13	387.1720505
14	378.2988939
15	371.1004782
16	364.1866736
17	358.2816103
18	351.9001615
19	344.7292913
20	339.9420016
21	334.5311029
22	332.0426688
23	329.4639376
24	324.4468509
25	320.580921
26	317.0135253
27	314.0279492
28	310.6432319
29	306.96877
30	304.8861739
31	302.1418543
32	298.9911677
33	297.434608
34	295.141578
35	294.0725144
36	289.8424734
37	287.832207
38	286.512445
39	284.4094068
40	282.7137877
41	280.5573232
42	278.8825858
43	277.289125
44	274.9547833
45	274.0936133
46	272.8748488
47	272.1099025
48	270.650531
49	269.2685016
50	267.729206
51	266.3751673
52	265.1567328
53	262.7425138
54	261.5006055
55	260.3991374
56	259.5071425
57	258.3077567
58	256.6958955
59	255.7369631
60	254.6513668
61	252.412226
62	251.6672272
63	250.9197274
64	249.3803318
65	248.3616159
66	247.6320678
67	246.6027444
68	244.4125278
69	243.7956213
70	242.993933
71	242.1142019
72	241.1124431
73	239.6678237
74	238.6413962
75	237.9358722
76	237.1623284
77	236.4903578
78	234.2097787
79	232.5390783
80	231.5354041
81	231.0240376
82	230.3168614
83	229.1801928
84	229.0438676
85	227.7250286
86	226.9119174
87	225.5563734
88	225.2555335
89	224.700055
90	223.7334548
91	222.8794757
92	222.3813017
93	221.5468369
94	220.6692939
95	220.505753
96	219.6206459
97	219.308665
98	218.5902603
99	218.4916362
100	218.2297379
101	217.1934076
102	215.9986482
103	215.6311491
104	215.3809736
105	214.9699467
106	213.8463638
107	213.7542123
108	212.8253177
109	212.6170098
110	212.2164757
111	212.0278297
112	211.1344087
113	209.8654248
114	209.1857718
115	208.6394453
116	207.6560685
117	207.5994487
118	207.1537081
119	205.9902867
120	205.4279189
121	205.3736085
122	204.7859
123	204.2113837
124	204.1609118
125	204.1130851
126	203.373643
127	202.5970105
128	201.5542892
129	201.4552859
130	201.40146
131	200.819663
132	200.65617
133	200.4963911
134	200.460981
135	200.4097629
136	199.6188407
137	198.9893595
138	198.1715174
139	197.3785305
140	197.0327003
141	196.5819863
142	195.7859753
143	195.6417107
144	195.2170404
145	194.3453152
146	193.9709486
147	193.8865851
148	192.9067296
149	192.3288415
150	191.9061936
151	191.4700206
152	190.9122367
153	190.5604153
154	189.9371558
155	189.8227948
156	189.4513091
157	188.5294326
158	187.8858226
159	187.196686
160	186.7513929
161	186.456304
162	186.0822834
163	185.26912
164	184.7459034
165	184.6846606
166	184.2295819
167	184.1668593
168	183.7786906
169	183.7228687
170	183.1149761
171	182.7505182
172	182.3843127
173	182.1049287
174	181.5136441
175	181.4554316
176	180.8009844
177	180.6023337
178	180.2793519
179	179.5987704
180	178.9910385
181	178.3630475
182	178.3135463
183	178.1649355
184	177.9501339
185	177.7384597
186	177.5587241
187	177.3199833
188	177.2430198
189	177.1808497
190	176.8068521
191	176.1184381
192	176.1041263
193	175.9717381
194	175.8227313
195	175.6956915
196	174.8143067
197	174.5451195
198	174.4459365
199	174.2031956
200	174.1423099
201	173.9027584
202	173.785421
203	173.2597691
204	173.1903412
205	172.7901816
206	172.7346849
207	172.6380664
208	172.414106
209	172.2340291
210	172.1498654
211	172.0758538
212	171.6047442
213	171.3869356
214	170.6770754
215	170.5485158
216	170.3228652
217	170.0835295
218	169.6287917
219	169.5009178
220	169.0336471
221	168.4365206
222	168.0389342
223	167.6474181
224	167.3920536
225	167.0813792
226	167.0328382
227	166.8723895
228	166.5144046
229	166.4495073
230	166.3650403
231	166.2086923
232	165.8995422
233	165.7831884
234	165.6625283
235	165.5295971
236	165.1307275
237	164.939653
238	164.5709969
239	164.2595399
240	163.9143044
241	163.8913229
242	163.8132294
243	162.7792725
244	161.9451934
245	161.9004126
246	161.8191736
247	161.5350178
248	160.9802836
249	160.6733113
250	160.3439935
251	160.208681
252	160.0280499
253	159.6680012
254	159.6190803
255	159.58691
256	159.5075552
257	159.1471168
258	159.0283557
259	158.7340629
260	158.2176346
261	157.8203304
262	157.6517165
263	157.5013041
264	157.3756143
265	157.274228
266	157.1850372
267	156.7449545
268	156.5535038
269	156.0423832
270	155.9889988
271	155.4755595
272	155.416631
273	155.1422847
274	154.8690975
275	154.3961975
276	154.3410404
277	154.2915066
278	154.0569944
279	154.0281144
280	153.8946718
281	153.6929989
282	153.3526011
283	153.2521399
284	153.1703398
285	153.0149077
286	152.8938734
287	152.8496168
288	152.3451098
289	152.206819
290	152.1529289
291	152.0245381
292	152.0007598
293	151.6858173
294	151.5127501
295	151.4332334
296	151.2344507
297	151.1634893
298	150.8859176
299	150.794575
300	150.7062463
301	150.3392451
302	150.2774613
303	149.8270454
304	149.6772372
305	148.9694291
306	148.7000046
307	148.6866334
308	148.6508149
