iter	Passed	Remaining
0	191	95514
1	221	55131
2	243	40408
3	264	32840
4	287	28430
5	310	25598
6	334	23526
7	355	21835
8	391	21381
9	431	21138
10	452	20119
11	481	19569
12	505	18932
13	545	18945
14	570	18451
15	614	18592
16	645	18332
17	669	17918
18	692	17530
19	720	17284
20	743	16965
21	770	16735
22	795	16493
23	820	16264
24	846	16083
25	874	15949
26	899	15757
27	923	15568
28	946	15380
29	972	15241
30	997	15096
31	1020	14924
32	1042	14747
33	1063	14580
34	1085	14417
35	1099	14169
36	1121	14035
37	1143	13901
38	1164	13768
39	1187	13652
40	1210	13550
41	1240	13524
42	1262	13418
43	1288	13353
44	1312	13266
45	1329	13124
46	1356	13076
47	1385	13050
48	1409	12970
49	1432	12888
50	1455	12816
51	1476	12723
52	1498	12640
53	1519	12549
54	1540	12462
55	1560	12376
56	1574	12236
57	1597	12173
58	1618	12097
59	1641	12038
60	1663	11968
61	1684	11902
62	1708	11848
63	1730	11786
64	1751	11719
65	1772	11657
66	1794	11595
67	1816	11537
68	1837	11479
69	1861	11437
70	1883	11382
71	1907	11337
72	1929	11288
73	1950	11229
74	1972	11175
75	1993	11124
76	2015	11071
77	2038	11030
78	2060	10978
79	2080	10924
80	2102	10873
81	2124	10827
82	2145	10780
83	2169	10742
84	2191	10698
85	2213	10655
86	2237	10620
87	2259	10577
88	2281	10535
89	2304	10499
90	2327	10459
91	2350	10422
92	2372	10382
93	2394	10340
94	2417	10304
95	2438	10262
96	2459	10218
97	2480	10175
98	2503	10141
99	2527	10109
100	2548	10065
101	2569	10026
102	2595	10005
103	2627	10003
104	2656	9992
105	2678	9956
106	2702	9924
107	2724	9890
108	2747	9854
109	2788	9885
110	2821	9887
111	2843	9851
112	2868	9824
113	2891	9790
114	2915	9760
115	2939	9730
116	2962	9696
117	2984	9660
118	3006	9624
119	3027	9587
120	3049	9552
121	3072	9518
122	3094	9484
123	3118	9454
124	3142	9427
125	3165	9396
126	3187	9362
127	3212	9334
128	3234	9303
129	3257	9271
130	3280	9239
131	3303	9210
132	3326	9178
133	3348	9146
134	3371	9114
135	3392	9081
