Company,TypeName,Inches,Ram,OS,Weight,Price_euros,Screen,ScreenW,ScreenH,Touchscreen,IPSpanel,RetinaDisplay,CPU_company,CPU_freq,PrimaryStorage,SecondaryStorage,PrimaryStorageType,SecondaryStorageType,GPU_company
Apple,Ultrabook,13.3,8,macOS,1.37,1339.69,Standard,2560,1600,No,Yes,Yes,Intel,2.3,128,0,SSD,No,Intel
Apple,Ultrabook,13.3,8,macOS,1.34,898.94,Standard,1440,900,No,No,No,Intel,1.8,128,0,Flash Storage,No,Intel
HP,Notebook,15.6,8,No OS,1.86,575.0,Full HD,1920,1080,No,No,No,Intel,2.5,256,0,SSD,No,Intel
Apple,Ultrabook,15.4,16,macOS,1.83,2537.45,Standard,2880,1800,No,Yes,Yes,Intel,2.7,512,0,SSD,No,AMD
Apple,Ultrabook,13.3,8,macOS,1.37,1803.6,Standard,2560,1600,No,Yes,Yes,Intel,3.1,256,0,SSD,No,Intel
Acer,Notebook,15.6,4,Windows 10,2.1,400.0,Standard,1366,768,No,No,No,AMD,3.0,500,0,HDD,No,AMD
Apple,Ultrabook,15.4,16,Mac OS X,2.04,2139.97,Standard,2880,1800,No,Yes,Yes,Intel,2.2,256,0,Flash Storage,No,Intel
Apple,Ultrabook,13.3,8,macOS,1.34,1158.7,Standard,1440,900,No,No,No,Intel,1.8,256,0,Flash Storage,No,Intel
Asus,Ultrabook,14.0,16,Windows 10,1.3,1495.0,Full HD,1920,1080,No,No,No,Intel,1.8,512,0,SSD,No,Nvidia
Acer,Ultrabook,14.0,8,Windows 10,1.6,770.0,Full HD,1920,1080,No,Yes,No,Intel,1.6,256,0,SSD,No,Intel
HP,Notebook,15.6,4,No OS,1.86,393.9,Standard,1366,768,No,No,No,Intel,2.5,500,0,HDD,No,Intel
HP,Notebook,15.6,4,No OS,1.86,344.99,Full HD,1920,1080,No,No,No,Intel,2.0,500,0,HDD,No,Intel
Apple,Ultrabook,15.4,16,macOS,1.83,2439.97,Standard,2880,1800,No,Yes,Yes,Intel,2.8,256,0,SSD,No,AMD
Dell,Notebook,15.6,4,Windows 10,2.2,498.9,Full HD,1920,1080,No,No,No,Intel,2.0,256,0,SSD,No,AMD
Apple,Ultrabook,12.0,8,macOS,0.92,1262.4,Standard,2304,1440,No,Yes,Yes,Intel,1.2,256,0,SSD,No,Intel
Apple,Ultrabook,13.3,8,macOS,1.37,1518.55,Standard,2560,1600,No,Yes,Yes,Intel,2.3,256,0,SSD,No,Intel
Dell,Notebook,15.6,8,Windows 10,2.2,745.0,Full HD,1920,1080,No,No,No,Intel,2.7,256,0,SSD,No,AMD
Apple,Ultrabook,15.4,16,macOS,1.83,2858.0,Standard,2880,1800,No,Yes,Yes,Intel,2.9,512,0,SSD,No,AMD
Lenovo,Notebook,15.6,8,No OS,2.2,499.0,Full HD,1920,1080,No,No,No,Intel,2.4,1024,0,HDD,No,Nvidia
Dell,Ultrabook,13.3,8,Windows 10,1.22,979.0,Full HD,1920,1080,Yes,Yes,No,Intel,1.6,128,0,SSD,No,Intel
Asus,Netbook,11.6,2,Windows 10,0.98,191.9,Standard,1366,768,No,No,No,Intel,1.44,32,0,Flash Storage,No,Intel
Lenovo,Gaming,15.6,8,Windows 10,2.5,999.0,Full HD,1920,1080,No,Yes,No,Intel,2.5,128,1024,SSD,HDD,Nvidia
HP,Notebook,15.6,4,No OS,1.86,258.0,Standard,1366,768,No,No,No,AMD,1.5,500,0,HDD,No,AMD
Dell,2 in 1 Convertible,13.3,8,Windows 10,1.62,819.0,Full HD,1920,1080,Yes,No,No,Intel,1.6,256,0,SSD,No,Intel
HP,Ultrabook,15.6,8,Windows 10,1.91,659.0,Full HD,1920,1080,No,No,No,Intel,1.8,256,0,SSD,No,Intel
Dell,Notebook,15.6,4,Windows 10,2.3,418.64,Standard,1366,768,No,No,No,Intel,2.0,1024,0,HDD,No,Intel
Apple,Ultrabook,13.3,8,Mac OS X,1.35,1099.0,Standard,1440,900,No,No,No,Intel,1.6,128,0,Flash Storage,No,Intel
Dell,Notebook,15.6,8,Windows 10,2.2,800.0,Full HD,1920,1080,No,No,No,Intel,1.6,256,0,SSD,No,AMD
Dell,Ultrabook,15.6,8,Windows 10,1.88,1298.0,Full HD,1920,1080,No,No,No,Intel,1.9,256,256,SSD,SSD,Intel
HP,Notebook,17.3,8,Windows 10,2.5,896.0,Full HD,1920,1080,No,No,No,Intel,1.6,1024,0,HDD,No,Nvidia
Chuwi,Notebook,15.6,4,Windows 10,1.89,244.99,Full HD,1920,1080,No,No,No,Intel,1.44,64,0,Flash Storage,No,Intel
Asus,Notebook,14.0,2,Windows 10,1.65,199.0,Standard,1366,768,No,No,No,AMD,1.5,32,0,Flash Storage,No,AMD
HP,Notebook,17.3,4,Windows 10,2.71,439.0,Full HD,1920,1080,No,No,No,AMD,2.5,500,0,HDD,No,AMD
Dell,Ultrabook,13.3,16,Windows 10,1.2,1869.0,Quad HD+,3200,1800,Yes,No,No,Intel,1.8,512,0,SSD,No,Intel
Apple,Ultrabook,13.3,8,Mac OS X,1.35,998.0,Standard,1440,900,No,No,No,Intel,1.6,256,0,Flash Storage,No,Intel
Lenovo,Notebook,14.0,4,Windows 10,1.44,249.0,Standard,1366,768,No,No,No,Intel,1.1,64,0,Flash Storage,No,Intel
Acer,Notebook,15.6,4,Linux,2.1,367.0,Standard,1366,768,No,No,No,Intel,2.7,1024,0,HDD,No,Intel
Dell,Notebook,17.3,8,Windows 10,2.8,979.0,Full HD,1920,1080,No,Yes,No,Intel,1.6,128,1024,SSD,HDD,AMD
HP,Notebook,15.6,4,Windows 10,1.86,488.69,Standard,1366,768,No,No,No,Intel,2.5,1024,0,HDD,No,Intel
HP,Notebook,15.6,8,Windows 10,2.1,879.0,Full HD,1920,1080,No,No,No,Intel,1.6,256,0,SSD,No,Nvidia
Asus,Notebook,15.6,4,Linux,2.0,389.0,Full HD,1920,1080,No,No,No,Intel,2.0,1024,0,HDD,No,Intel
Dell,Gaming,15.6,16,Windows 10,2.65,1499.0,Full HD,1920,1080,No,Yes,No,Intel,2.8,256,1024,SSD,HDD,Nvidia
Asus,Notebook,15.6,8,Linux,2.3,522.99,Standard,1366,768,No,No,No,Intel,2.5,1024,0,HDD,No,Nvidia
Acer,Notebook,15.6,4,Windows 10,2.2,682.0,Full HD,1920,1080,No,Yes,No,Intel,1.6,256,0,SSD,No,Intel
Dell,2 in 1 Convertible,17.3,12,Windows 10,2.77,999.0,Full HD,1920,1080,Yes,No,No,Intel,1.6,1024,0,HDD,No,Nvidia
Apple,Ultrabook,13.3,8,macOS,1.37,1419.0,Standard,2560,1600,No,Yes,Yes,Intel,2.0,256,0,SSD,No,Intel
Lenovo,Notebook,15.6,4,No OS,2.2,369.0,Standard,1366,768,No,No,No,Intel,2.0,128,0,SSD,No,Intel
Asus,Gaming,17.3,8,Windows 10,3.2,1299.0,Full HD,1920,1080,No,No,No,AMD,3.0,256,1024,SSD,HDD,AMD
Dell,Notebook,15.6,4,Windows 10,2.3,639.0,Full HD,1920,1080,No,No,No,Intel,2.5,256,0,SSD,No,AMD
Asus,Notebook,17.3,4,Windows 10,2.8,466.0,Standard,1366,768,No,No,No,Intel,1.1,1024,0,HDD,No,Nvidia
Lenovo,2 in 1 Convertible,10.1,4,Android,0.69,319.0,Standard,1920,1200,Yes,Yes,No,Intel,1.44,64,0,Flash Storage,No,Intel
Acer,Notebook,15.6,8,Windows 10,2.2,841.0,Full HD,1920,1080,No,Yes,No,Intel,1.8,256,0,SSD,No,Nvidia
HP,Notebook,15.6,4,Windows 10,1.86,398.49,Full HD,1920,1080,No,No,No,AMD,2.5,256,0,SSD,No,AMD
HP,Notebook,13.3,8,Windows 10,1.49,1103.0,Full HD,1920,1080,No,No,No,Intel,1.8,512,0,SSD,No,Intel
Acer,Notebook,15.6,4,Windows 10,2.4,384.0,Standard,1366,768,No,No,No,Intel,2.4,1024,0,HDD,No,Intel
Dell,Notebook,15.6,8,Windows 10,2.13,767.8,Full HD,1920,1080,No,No,No,Intel,1.8,256,0,SSD,No,AMD
HP,Notebook,15.6,4,Windows 10,1.91,439.0,Full HD,1920,1080,No,No,No,Intel,2.0,128,0,SSD,No,Intel
Asus,Notebook,15.6,4,Windows 10,2.0,586.19,Standard,1366,768,No,No,No,Intel,2.5,256,0,SSD,No,Intel
MSI,Gaming,17.3,16,Windows 10,2.43,2449.0,Full HD,1920,1080,No,No,No,Intel,2.8,256,2048,SSD,HDD,Nvidia
Asus,Notebook,15.6,4,Linux,2.0,415.0,Full HD,1920,1080,No,No,No,Intel,2.0,256,0,SSD,No,Intel
Dell,Notebook,17.3,16,Windows 10,2.8,1299.0,Full HD,1920,1080,No,No,No,Intel,1.8,256,2048,SSD,HDD,AMD
Dell,Ultrabook,14.0,8,Windows 10,1.7,879.0,Full HD,1920,1080,No,No,No,Intel,1.6,256,0,SSD,No,Intel
Lenovo,Notebook,14.0,8,No OS,1.7,599.0,Full HD,1920,1080,No,Yes,No,Intel,2.7,256,0,SSD,No,Intel
Asus,Notebook,14.0,8,Windows 10,1.4,941.0,Full HD,1920,1080,No,No,No,Intel,1.6,256,0,SSD,No,Intel
HP,Notebook,15.6,8,Windows 10,1.86,690.0,Full HD,1920,1080,No,No,No,Intel,2.5,256,0,SSD,No,Intel
Asus,Ultrabook,15.6,16,Windows 10,1.8,1983.0,Full HD,1920,1080,No,No,No,Intel,2.8,512,0,SSD,No,Nvidia
HP,Notebook,15.6,4,Windows 10,1.86,438.69,Standard,1366,768,No,No,No,Intel,2.0,500,0,HDD,No,AMD
HP,Notebook,14.0,4,Windows 10,1.44,229.0,Standard,1366,768,No,No,No,Intel,1.6,32,0,SSD,No,Intel
Lenovo,Notebook,15.6,4,Windows 10,1.9,549.0,Full HD,1920,1080,No,No,No,Intel,2.5,1024,0,HDD,No,Intel
Asus,Gaming,17.3,12,Linux,3.0,949.0,Full HD,1920,1080,No,No,No,Intel,2.8,1024,0,HDD,No,Nvidia
Microsoft,Ultrabook,13.5,4,Windows 10 S,1.252,1089.0,Standard,2256,1504,Yes,No,No,Intel,2.5,128,0,SSD,No,Intel
Dell,Ultrabook,13.3,8,Windows 10,1.4,955.0,Full HD,1920,1080,No,Yes,No,Intel,1.8,256,0,SSD,No,AMD
Dell,Notebook,15.6,8,Windows 10,2.2,870.0,Full HD,1920,1080,No,No,No,Intel,1.8,256,0,SSD,No,AMD
MSI,Gaming,17.3,8,Windows 10,2.7,1095.0,Full HD,1920,1080,No,No,No,Intel,2.5,128,1024,SSD,HDD,Nvidia
Acer,Notebook,14.0,8,Windows 10,2.1,389.0,Standard,1366,768,No,No,No,Intel,2.0,1024,0,HDD,No,Intel
Asus,Gaming,15.6,8,Windows 10,2.2,949.0,Full HD,1920,1080,No,No,No,Intel,2.8,1024,0,HDD,No,Nvidia
Lenovo,Notebook,15.6,8,No OS,2.2,519.0,Full HD,1920,1080,No,No,No,Intel,2.5,2048,0,HDD,No,Intel
Dell,Notebook,15.6,8,Windows 10,2.02,855.0,Full HD,1920,1080,No,No,No,Intel,1.8,128,1024,SSD,HDD,Intel
Acer,Notebook,15.6,4,Windows 10,2.2,530.0,Full HD,1920,1080,No,No,No,Intel,2.7,1024,0,HDD,No,Nvidia
HP,Notebook,17.3,8,Windows 10,2.5,977.0,Full HD,1920,1080,No,No,No,Intel,1.6,128,1024,SSD,HDD,Nvidia
Dell,Ultrabook,15.6,8,Windows 10,1.88,1096.16,Full HD,1920,1080,No,Yes,No,Intel,1.6,256,0,SSD,No,Intel
Apple,Ultrabook,12.0,8,macOS,0.92,1510.0,Standard,2304,1440,No,Yes,Yes,Intel,1.3,512,0,SSD,No,Intel
HP,Notebook,14.0,8,Windows 10,1.63,860.0,Full HD,1920,1080,No,No,No,Intel,1.6,256,0,SSD,No,Intel
Lenovo,Notebook,15.6,4,Windows 10,2.2,399.0,Full HD,1920,1080,No,No,No,AMD,2.5,128,0,SSD,No,AMD
Acer,Notebook,15.6,4,Windows 10,2.1,395.0,Standard,1366,768,No,No,No,AMD,3.0,1024,0,HDD,No,AMD
Dell,Gaming,15.6,16,Windows 10,2.65,1349.0,Full HD,1920,1080,No,Yes,No,Intel,2.8,128,1024,SSD,HDD,Nvidia
HP,Ultrabook,15.6,8,Windows 10,1.83,699.0,Full HD,1920,1080,No,Yes,No,Intel,1.8,256,0,SSD,No,Nvidia
HP,Notebook,15.6,8,Windows 10,1.96,598.99,Full HD,1920,1080,No,No,No,Intel,2.5,256,0,SSD,No,Intel
Asus,Gaming,15.6,16,Windows 10,2.2,1449.0,Full HD,1920,1080,No,Yes,No,Intel,2.8,128,1024,SSD,HDD,Nvidia
Dell,Ultrabook,13.3,8,Windows 10,1.21,1649.0,Full HD,1920,1080,No,Yes,No,Intel,1.8,256,0,SSD,No,Intel
Asus,Gaming,15.6,8,Windows 10,2.45,699.0,Full HD,1920,1080,No,No,No,AMD,3.0,1024,0,HDD,No,AMD
Acer,Notebook,15.6,8,Windows 10,2.2,689.0,Full HD,1920,1080,No,No,No,Intel,1.8,1024,0,HDD,No,Nvidia
HP,Notebook,13.3,16,Windows 10,1.49,1197.0,Full HD,1920,1080,No,No,No,Intel,1.8,512,0,SSD,No,Intel
Dell,Gaming,15.6,8,Windows 10,2.65,1195.0,Full HD,1920,1080,No,No,No,Intel,2.5,256,0,SSD,No,Nvidia
Asus,Ultrabook,14.0,8,Windows 10,1.25,1049.0,Full HD,1920,1080,No,No,No,Intel,2.7,256,0,SSD,No,Intel
Acer,2 in 1 Convertible,13.3,8,Windows 10,1.5,847.0,Full HD,1920,1080,Yes,Yes,No,Intel,1.6,256,0,SSD,No,Intel
Dell,Notebook,15.6,8,Linux,2.2,599.9,Full HD,1920,1080,No,No,No,Intel,2.7,1024,0,HDD,No,AMD
Dell,Notebook,15.6,4,Linux,2.2,485.0,Full HD,1920,1080,No,No,No,Intel,2.0,256,0,SSD,No,AMD
Asus,Notebook,15.6,6,Windows 10,2.0,577.0,Full HD,1920,1080,No,No,No,Intel,2.4,256,0,SSD,No,Nvidia
HP,Gaming,15.6,12,Windows 10,2.62,1249.0,Full HD,1920,1080,No,Yes,No,Intel,2.8,128,1024,SSD,HDD,Nvidia
HP,Notebook,15.6,8,Windows 10,1.91,719.0,Full HD,1920,1080,No,No,No,Intel,2.7,256,0,SSD,No,AMD
HP,Notebook,15.6,4,Windows 10,2.1,349.0,Full HD,1920,1080,No,No,No,AMD,1.5,500,0,HDD,No,AMD
Dell,Notebook,15.6,8,Linux,2.2,647.0,Full HD,1920,1080,No,No,No,Intel,1.6,1024,0,HDD,No,AMD
HP,Ultrabook,13.3,8,Windows 10,1.38,1119.0,Full HD,1920,1080,No,Yes,No,Intel,2.7,256,0,SSD,No,Nvidia
Microsoft,Ultrabook,13.5,8,Windows 10 S,1.252,1340.0,Standard,2256,1504,Yes,No,No,Intel,2.5,256,0,SSD,No,Intel
HP,Notebook,14.0,6,Windows 10,1.58,659.0,Full HD,1920,1080,No,Yes,No,Intel,2.5,256,0,SSD,No,Nvidia
Lenovo,Notebook,15.6,4,Windows 10,1.85,414.9,Full HD,1920,1080,No,No,No,Intel,2.0,1024,0,HDD,No,Intel
Asus,Ultrabook,14.0,8,Windows 10,1.3,1193.0,Full HD,1920,1080,No,Yes,No,Intel,2.7,256,0,SSD,No,Nvidia
MSI,Gaming,15.6,16,Windows 10,2.2,1299.0,Full HD,1920,1080,No,No,No,Intel,2.8,256,1024,SSD,HDD,Nvidia
Lenovo,Notebook,14.0,8,Windows 10,1.58,1480.0,Full HD,1920,1080,No,Yes,No,Intel,2.7,256,0,SSD,No,Intel
Asus,Ultrabook,15.6,16,Windows 10,1.5,1262.0,Full HD,1920,1080,No,No,No,Intel,1.8,256,1024,SSD,HDD,Nvidia
Dell,Ultrabook,13.3,8,Windows 10,1.23,1379.0,Quad HD+,3200,1800,Yes,No,No,Intel,2.4,256,0,SSD,No,Intel
Lenovo,2 in 1 Convertible,13.3,8,Windows 10,1.37,1399.0,Full HD,1920,1080,Yes,Yes,No,Intel,2.5,256,0,SSD,No,Intel
HP,Notebook,14.0,4,Windows 10,1.63,722.0,Standard,1366,768,No,Yes,No,Intel,1.6,500,0,HDD,No,Intel
